data,test,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25
map1,17,81637.9,81637.9,81637.9,81637.9,81637.9,81637.9,81637.9,81637.9,72024.2,72024.2,72024.2,72024.2,72024.2,49344.4,36084.6,36084.6,36084.6,36084.6,32075.3,32075.3,32075.3,25578.7,25578.7,25578.7,25578.7
map1,18,122954,122954,119246,96389,68731.3,68731.3,68731.3,68731.3,62587.7,62587.7,62587.7,62587.7,62587.7,62587.7,62587.7,62587.7,58777,58777,58777,58777,52630.3,52630.3,52630.3,40647.3,40606.1
map1,19,62849.8,62849.8,62849.8,62849.8,46007.7,39257.3,39257.3,39257.3,39257.3,39257.3,39257.3,39257.3,39257.3,39257.3,39257.3,39257.3,39257.3,39257.3,39257.3,39257.3,39257.3,39257.3,39257.3,39257.3,39257.3
map2,0,123.099,89.9005,89.9005,89.9005,89.9005,80.7008,80.7008,80.7008,67.6183,65.8072,65.8072,65.8072,65.8072,65.8072,65.8072,65.8072,65.8072,65.8072,65.8072,64.6689,63.2394,63.2394,60.9499,60.9499,60.9499
map2,1,134.599,85.6501,85.6501,85.6501,85.6501,85.6501,85.6501,85.6501,85.6501,85.6501,85.6501,85.6501,85.2918,85.2918,85.2918,61.9907,61.9907,61.9907,61.9907,61.9907,61.9907,61.9907,61.9907,61.9907,61.9907
map2,2,165.989,165.989,165.989,165.989,165.989,154.975,117.801,89.3105,89.3105,67.2327,67.2327,67.2327,67.2327,67.2327,67.2327,67.2327,62.3357,62.3357,62.3357,62.3357,61.2666,61.2629,61.2629,61.2629,61.2629
map2,3,115.902,115.902,115.902,115.902,115.902,115.902,115.902,99.707,99.707,99.707,95.4637,95.4637,91.4907,91.4907,91.4907,71.0978,71.0978,71.0978,71.0978,71.0978,71.0978,71.0978,71.0978,71.0978,71.0978
map2,4,122.515,122.515,65.0221,65.0221,65.0221,65.0221,65.0221,65.0221,65.0221,65.0221,65.0221,65.0221,65.0221,62.4882,62.4882,62.4882,62.4882,62.4882,62.4882,62.4882,62.4882,62.4882,62.4882,62.4882,62.4882
map2,5,167.004,167.004,167.004,167.004,141.64,141.64,141.64,136.607,127.266,117.044,116.96,65.4018,65.4018,65.4018,65.4018,65.4018,65.4018,64.5777,61.5585,61.5585,61.5585,61.5585,61.5585,61.5585,61.5585
map2,6,143.454,143.454,143.454,143.454,137.036,137.036,137.036,126.467,109.99,109.99,109.99,109.224,89.451,88.2903,88.2903,88.2903,88.2903,88.2903,88.2903,88.2903,88.2903,88.2903,88.2903,88.2903,88.2903
map2,7,97.4328,97.4328,89.8036,89.8036,83.1595,79.9035,73.7345,68.4418,68.4418,65.5308,64.1642,64.1642,64.1642,62.9682,62.9682,62.1936,62.1547,62.1547,62.1547,62.1547,62.1547,62.1547,62.1547,62.1547,62.1547
map2,8,150.481,133.471,109.806,97.5811,97.5811,97.5811,66.1158,63.0337,63.0337,63.0337,63.0337,63.0337,63.0337,63.0337,62.0086,62.0086,62.0086,62.0086,62.0086,62.0086,62.0086,62.0086,62.0086,62.0086,62.0086
